sequence	frame																
	label																
	tags																
0	0	1.1635715961456299	1.2438502311706543	1.1865932941436768	1.3197441101074219	1.2616978883743286	1.2451165914535522	1.3062551021575928	1.2434897422790527	1.2475799322128296	1.1784709692001343	1.42075514793396	1.252671480178833	1.2095909118652344	1.3134092092514038	1.135705590248108	1.1843961477279663
1	0	1.1853256225585938	1.1380393505096436	1.105181336402893	1.3777670860290527	1.2492672204971313	1.1633944511413574	1.1543147563934326	1.21396803855896	1.1934497356414795	1.1004122495651245	1.397540807723999	1.153293251991272	1.2260831594467163	1.2330727577209473	1.264267921447754	1.2081964015960693
2	0	1.1444246768951416	1.1396048069000244	1.0393956899642944	1.198717474937439	1.2297683954238892	1.1624817848205566	1.2268072366714478	1.1408017873764038	1.1871832609176636	1.1093027591705322	1.312863826751709	1.111915111541748	1.1200119256973267	1.2332874536514282	1.0815684795379639	1.1634633541107178
3	0	1.0914756059646606	1.1231173276901245	1.0775022506713867	1.3047945499420166	1.1820292472839355	1.1260050535202026	1.1287816762924194	1.1317856311798096	1.1406053304672241	1.0339689254760742	1.297729253768921	1.126794695854187	1.1566438674926758	1.1152048110961914	1.1668744087219238	1.097365379333496
4	0	1.1133008003234863	1.1671565771102905	1.0603909492492676	1.19903564453125	1.183879017829895	1.1457302570343018	1.1999242305755615	1.1508510112762451	1.201859951019287	1.0840566158294678	1.2912791967391968	1.0874954462051392	1.1430895328521729	1.2365646362304688	1.121260643005371	1.2105270624160767
5	0	1.1438581943511963	1.1708564758300781	1.1097691059112549	1.2877317667007446	1.2525681257247925	1.202581763267517	1.1855612993240356	1.1443811655044556	1.1734251976013184	1.118078589439392	1.2744356393814087	1.1674342155456543	1.1803898811340332	1.2582446336746216	1.159579873085022	1.1828715801239014
6	0	1.198440432548523	1.1227675676345825	1.0796102285385132	1.2729761600494385	1.2558302879333496	1.1300121545791626	1.090730905532837	1.1965535879135132	1.218731164932251	1.0966166257858276	1.3251005411148071	1.0693715810775757	1.152513861656189	1.2680286169052124	1.1505906581878662	1.287480115890503
7	0	1.1454967260360718	1.1935005187988281	1.3390346765518188	1.319333791732788	1.2340797185897827	1.2397189140319824	1.1629515886306763	1.224435806274414	1.2128262519836426	1.1067944765090942	1.2460025548934937	1.1419919729232788	1.1599757671356201	1.3475004434585571	1.1919456720352173	1.2334343194961548
8	0	1.12643301486969	1.1713314056396484	1.6396875381469727	1.2454155683517456	1.238267421722412	1.1380311250686646	1.1743836402893066	1.1935193538665771	1.2140755653381348	1.0594394207000732	1.2770311832427979	1.1874147653579712	1.1983329057693481	1.276840090751648	1.1959270238876343	1.222872018814087
9	0	1.0788122415542603	1.1799079179763794	1.3933501243591309	1.5517940521240234	1.1944458484649658	1.194638729095459	1.2750147581100464	1.1356139183044434	1.144723653793335	1.0880521535873413	1.223263144493103	1.3240132331848145	1.1605324745178223	1.2458271980285645	1.1879862546920776	1.1758877038955688
10	0	1.1424084901809692	1.1455544233322144	1.478354573249817	1.2315109968185425	1.180127501487732	1.1275525093078613	1.1535375118255615	1.1209582090377808	1.1431165933609009	1.0600513219833374	1.2851301431655884	1.1268367767333984	1.115578293800354	1.22066068649292	1.0837568044662476	1.1869637966156006
11	0	1.0976592302322388	1.1643117666244507	1.1060757637023926	1.2096161842346191	1.204438328742981	1.134771466255188	1.118260383605957	1.1007835865020752	1.08428156375885	1.0456205606460571	1.4772436618804932	1.1315689086914062	1.0867841243743896	1.160030484199524	1.0827010869979858	1.09879469871521
12	0	1.1484192609786987	1.2191078662872314	1.7255752086639404	1.2515994310379028	1.1959720849990845	1.1164445877075195	1.098539113998413	1.3606414794921875	1.205183506011963	1.0605599880218506	1.2566930055618286	1.1616935729980469	1.1111425161361694	1.1968921422958374	1.0696519613265991	1.1569178104400635
13	0	1.1023293733596802	1.226576805114746	1.892475962638855	1.2679874897003174	1.198570966720581	1.18294358253479	1.0965161323547363	1.1913167238235474	1.1548619270324707	1.0335859060287476	1.235520362854004	1.1199133396148682	1.1356431245803833	1.3550167083740234	1.1467267274856567	1.1363513469696045
14	0	1.0961414575576782	1.0800360441207886	1.611711025238037	1.2131335735321045	1.2251564264297485	1.118847370147705	1.083901047706604	1.1773123741149902	1.1537213325500488	1.0617947578430176	1.2422276735305786	1.2360526323318481	1.0971453189849854	1.2513316869735718	1.138511061668396	1.1686265468597412
15	0	1.0769628286361694	1.1163698434829712	1.371117115020752	1.1802395582199097	1.1355034112930298	1.1284639835357666	1.1212743520736694	1.09409761428833	1.1215040683746338	1.0501713752746582	1.1858571767807007	1.8619308471679688	1.0882883071899414	1.2290918827056885	1.057863712310791	1.2176029682159424
16	0	1.1163665056228638	1.057105541229248	1.2139577865600586	1.4701179265975952	1.2695351839065552	1.1077653169631958	1.0351547002792358	1.1265203952789307	1.0973241329193115	1.0653935670852661	1.2553004026412964	1.3380296230316162	1.1402000188827515	1.251691222190857	1.1939811706542969	1.0976817607879639
17	0	1.0869128704071045	1.143919825553894	1.165151596069336	1.1584020853042603	1.123837947845459	1.1165105104446411	1.1266893148422241	1.1258844137191772	1.1506081819534302	1.0542484521865845	1.172911524772644	1.1651486158370972	1.0622355937957764	1.1433568000793457	1.0252504348754883	1.1406900882720947
18	0	1.1576836109161377	1.0923386812210083	1.1209487915039062	1.2105293273925781	1.2476774454116821	1.1382538080215454	1.0898181200027466	1.1347907781600952	1.1927069425582886	1.1238044500350952	1.2595713138580322	1.1029828786849976	1.1088957786560059	1.2532864809036255	1.1274787187576294	1.170316219329834
19	0	1.0452510118484497	1.0961648225784302	1.0411019325256348	1.1775861978530884	1.1569992303848267	1.1115150451660156	1.057086706161499	1.0776346921920776	1.058896780014038	1.1133650541305542	1.1537790298461914	1.0184109210968018	1.1267367601394653	1.2597565650939941	1.0918763875961304	1.0738856792449951
20	0	1.0347965955734253	1.0480399131774902	0.9992007613182068	1.1330015659332275	1.1036159992218018	1.0628838539123535	1.027282476425171	1.0905487537384033	1.063913345336914	1.0688326358795166	1.222356915473938	1.0223678350448608	1.0690069198608398	1.140250563621521	1.0049378871917725	1.121444821357727
